,year,all_visas,visas_20s,diff
0,2005-06,22,33,-11
1,2006-07,37,64,-27
2,2007-08,69,104,-35
3,2008-09,65,95,-30
4,2009-10,101,124,-23
5,2010-11,84,105,-21
6,2011-12,108,129,-21
7,2012-13,80,104,-24
8,2013-14,79,105,-26
9,2014-15,96,109,-13
10,2015-16,142,162,-20
11,2016-17,194,222,-28
12,2017-18,221,253,-32
13,2018-19,218,218,0
14,2019-20,268,277,-9
15,2020-21,348,330,18
16,2021-22,381,378,3
